MAJOR,OCCUPATION
Aerospace Engineering  BSE,Architecture and engineering occupations
AfroAmerican & African St BA,"Education, training, and library occupations"
AfroAmerican & African St BS,"Education, training, and library occupations"
American Culture BA,"Education, training, and library occupations"
American Culture BS,"Education, training, and library occupations"
Ancient & Biblical St-Ne BA,"Education, training, and library occupations"
Ancient Civil & Biblic St BA,"Education, training, and library occupations"
Anthropology BA,"Life, physical, and social science occupations"
Anthropology BS,"Life, physical, and social science occupations"
Anthropology BS Chem,"Life, physical, and social science occupations"
Anthropology-Zoology BA,"Life, physical, and social science occupations"
Anthropology-Zoology BS,"Life, physical, and social science occupations"
"Arab,Arm,Pers,Turk & Islamic S","Education, training, and library occupations"
"Arab,Pers,Turk & Islami BA","Education, training, and library occupations"
"Arab,Pers,Turk & Islami BS","Education, training, and library occupations"
Architecture BS,Architecture and engineering occupations
Art and Design BA,"Arts, design, entertainment, sports, and media occupations"
Art and Design BFA,"Arts, design, entertainment, sports, and media occupations"
Arts and Ideas BA,"Arts, design, entertainment, sports, and media occupations"
Arts and Ideas BS,"Arts, design, entertainment, sports, and media occupations"
Asian Studies BA,"Education, training, and library occupations"
Asian Studies BS,"Education, training, and library occupations"
Asian Studies BS Chem,"Education, training, and library occupations"
Asian Studies: China BA,"Education, training, and library occupations"
Asian Studies: Japan BA,"Education, training, and library occupations"
Asian Studies: Japan BSChem,"Education, training, and library occupations"
Astronomy & Astrophysics BA,"Life, physical, and social science occupations"
Astronomy & Astrophysics BS,"Life, physical, and social science occupations"
Astronomy BS,"Life, physical, and social science occupations"
Athletic Training BS,"Arts, design, entertainment, sports, and media occupations"
Atmos Ocean & Space Sc BS,"Life, physical, and social science occupations"
Atmospheric & Oceanic Sci BS,"Life, physical, and social science occupations"
Biochemistry BS,"Life, physical, and social science occupations"
Biochemistry BSChem,"Life, physical, and social science occupations"
Biology BA,"Life, physical, and social science occupations"
Biology BS,"Life, physical, and social science occupations"
Biomedical Engineering BSE,Architecture and engineering occupations
Biomedical Sciences BA,"Life, physical, and social science occupations"
Biomedical Sciences BS,"Life, physical, and social science occupations"
Biomolecular Science BS,"Life, physical, and social science occupations"
Biophysics BS,"Life, physical, and social science occupations"
Biopsych & Cognit Science BA,"Life, physical, and social science occupations"
Biopsych & Cognit Science BS,"Life, physical, and social science occupations"
"Biopsych, Cognit & Neurosci BA","Life, physical, and social science occupations"
"Biopsych, Cognit & Neurosci BS","Life, physical, and social science occupations"
Botany BA,"Life, physical, and social science occupations"
Botany BS,"Life, physical, and social science occupations"
"Brain,Behavior & Cognit Sc BA","Life, physical, and social science occupations"
"Brain,Behavior & Cognit Sc BS","Life, physical, and social science occupations"
